tag,arm,N,seed,run_kind,W_total,hashes_per_block,W_unique_exact_secondary,exact_duplicates_secondary
primary,ND-PC,200,9364596802063509215,physical,467999988667667187472,2.5999999370425954e+19,467999988667667187472,0
primary,ND-PC-NOLP,200,9364596802063509215,derived,467999988667667187472,2.5999999370425954e+19,467999988667667187472,0
primary,ND-PW,200,6483795830361016413,physical,468000000000000000000,3.3428571428571427e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,6483795830361016413,physical,468000000000000000000,3.3428571428571427e+19,468000000000000000000,0
primary,ND-PC,200,6483795830361016413,physical,467999988667667187160,3.3428570619119084e+19,467999988667667187160,0
primary,ND-PC-NOLP,200,6483795830361016413,derived,467999988667667187160,3.3428570619119084e+19,467999988667667187160,0
primary,ND-PW,200,13726057523507487050,physical,468000000000000000000,2.1272727272727273e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,13726057523507487050,physical,468000000000000000000,2.1272727272727273e+19,468000000000000000000,0
primary,ND-PC,200,13726057523507487050,physical,467999988667667187680,2.1272726757621236e+19,467999988667667187680,0
primary,ND-PC-NOLP,200,13726057523507487050,derived,467999988667667187680,2.1272726757621236e+19,467999988667667187680,0
primary,ND-PW,200,592649121540029029,physical,468000000000000000000,2.6e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,592649121540029029,physical,468000000000000000000,2.6e+19,468000000000000000000,0
primary,ND-PC,200,592649121540029029,physical,467999988667667187576,2.5999999370425954e+19,467999988667667187576,0
primary,ND-PC-NOLP,200,592649121540029029,derived,467999988667667187576,2.5999999370425954e+19,467999988667667187576,0
primary,ND-PW,200,13234303622947097637,physical,468000000000000000000,2.1272727272727273e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,13234303622947097637,physical,468000000000000000000,2.1272727272727273e+19,468000000000000000000,0
primary,ND-PC,200,13234303622947097637,physical,467999988667667187784,2.1272726757621236e+19,467999988667667187784,0
primary,ND-PC-NOLP,200,13234303622947097637,derived,467999988667667187784,2.1272726757621236e+19,467999988667667187784,0
primary,ND-PW,200,17788360996555233988,physical,468000000000000000000,2.925e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,17788360996555233988,physical,468000000000000000000,2.925e+19,468000000000000000000,0
primary,ND-PC,200,17788360996555233988,physical,467999988667667187472,2.92499992917292e+19,467999988667667187472,0
primary,ND-PC-NOLP,200,17788360996555233988,derived,467999988667667187472,2.92499992917292e+19,467999988667667187472,0
primary,ND-PW,300,467376819415377580,physical,702000000000000000000,3.694736842105263e+19,702000000000000000000,0
primary,ND-PW-OFFSET,300,467376819415377580,physical,702000000000000000000,3.694736842105263e+19,702000000000000000000,0
primary,ND-PC,300,467376819415377580,physical,701999983001500780480,3.694736752639478e+19,701999983001500780480,0
primary,ND-PC-NOLP,300,467376819415377580,derived,701999983001500780480,3.694736752639478e+19,701999983001500780480,0
primary,ND-PW,300,2704408835578762228,physical,702000000000000000000,3.190909090909091e+19,702000000000000000000,0
primary,ND-PW-OFFSET,300,2704408835578762228,physical,702000000000000000000,3.190909090909091e+19,702000000000000000000,0
primary,ND-PC,300,2704408835578762228,physical,701999983001500781104,3.1909090136431854e+19,701999983001500781104,0
primary,ND-PC-NOLP,300,2704408835578762228,derived,701999983001500781104,3.1909090136431854e+19,701999983001500781104,0
primary,ND-PW,300,11237067994138084197,physical,702000000000000000000,3.694736842105263e+19,702000000000000000000,0
primary,ND-PW-OFFSET,300,11237067994138084197,physical,702000000000000000000,3.694736842105263e+19,702000000000000000000,0
primary,ND-PC,300,11237067994138084197,physical,701999983001500780792,3.694736752639478e+19,701999983001500780792,0
primary,ND-PC-NOLP,300,11237067994138084197,derived,701999983001500780792,3.694736752639478e+19,701999983001500780792,0
primary,ND-PW,300,5926412735843326529,physical,702000000000000000000,6.381818181818182e+19,702000000000000000000,0
primary,ND-PW-OFFSET,300,5926412735843326529,physical,702000000000000000000,6.381818181818182e+19,702000000000000000000,0
primary,ND-PC,300,5926412735843326529,physical,701999983001500780272,6.381818027286371e+19,701999983001500780272,0
primary,ND-PC-NOLP,300,5926412735843326529,derived,701999983001500780272,6.381818027286371e+19,701999983001500780272,0
primary,ND-PW,300,5192363207272324882,physical,702000000000000000000,4.129411764705882e+19,702000000000000000000,0
primary,ND-PW-OFFSET,300,5192363207272324882,physical,702000000000000000000,4.129411764705882e+19,702000000000000000000,0
