tag,arm,N,seed,run_kind,rounds,accepted_blocks,W_total,t_active_miner_s,t_low_miner_s,F_low,state_time_conservation_rel,work_identity_rel
primary,ND-PC,200,14970427933435388700,physical,26,25,467999988667667187784,1999999.9515712273,0.04842877270177778,2.421438635088889e-08,0.0,0.0
primary,ND-PC-NOLP,200,14970427933435388700,derived,26,25,467999988667667187784,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,6530983822519173908,physical,26,25,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,6530983822519173908,physical,26,25,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,6530983822519173908,physical,26,25,467999988667667187784,1999999.9515712273,0.04842877270177778,2.421438635088889e-08,0.0,0.0
primary,ND-PC-NOLP,200,6530983822519173908,derived,26,25,467999988667667187784,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,16478255227937338382,physical,19,18,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,16478255227937338382,physical,19,18,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,16478255227937338382,physical,19,18,467999988667667187264,1999999.9515712273,0.048428772704,2.4214386352e-08,0.0,0.0
primary,ND-PC-NOLP,200,16478255227937338382,derived,19,18,467999988667667187264,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,447822293856133746,physical,16,15,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,447822293856133746,physical,16,15,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,447822293856133746,physical,16,15,467999988667667187368,1999999.9515712273,0.048428772703555556,2.4214386351777777e-08,0.0,0.0
primary,ND-PC-NOLP,200,447822293856133746,derived,16,15,467999988667667187368,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,9364596802063509215,physical,19,18,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,9364596802063509215,physical,19,18,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
