tag,arm,N,seed,k_active,alpha_case,alpha,energy_J,energy_kWh,saving_vs_MT100,energy_per_block_J
pilot,E50-PC40,100,9878713980055163606,40,LP10,0.1,1614599998.8231807,448.4999996731057,0.5400000003352762,807299999.4115903
pilot,E50-PC40,100,9878713980055163606,40,LP25,0.25,1930499999.0193174,536.2499997275881,0.4500000002793968,965249999.5096587
pilot,E50-PC40,100,9878713980055163606,40,LP50,0.5,2456999999.3462114,682.4999998183921,0.3000000001862646,1228499999.6731057
pilot,E50-PC50,100,9878713980055163606,50,LP0,0.0,1754999998.3655288,487.49999954598024,0.5000000004656613,584999999.4551762
pilot,E50-PC50,100,9878713980055163606,50,LP10,0.1,1930499998.528976,536.2499995913822,0.45000000041909516,643499999.5096587
pilot,E50-PC50,100,9878713980055163606,50,LP25,0.25,2193749998.7741466,609.3749996594852,0.37500000034924597,731249999.5913821
pilot,E50-PC50,100,9878713980055163606,50,LP50,0.5,2632499999.1827645,731.2499997729901,0.25000000023283064,877499999.7275882
pilot,E50-PC60,100,9878713980055163606,60,LP0,0.0,2105999998.0386348,584.9999994551763,0.4000000005587935,421199999.60772693
pilot,E50-PC60,100,9878713980055163606,60,LP10,0.1,2246399998.2347713,623.9999995096587,0.36000000050291414,449279999.64695424
pilot,E50-PC60,100,9878713980055163606,60,LP25,0.25,2456999998.528976,682.4999995913822,0.30000000041909514,491399999.70579517
pilot,E50-PC60,100,9878713980055163606,60,LP50,0.5,2807999999.019317,779.9999997275881,0.2000000002793968,561599999.8038634
pilot,E50-PC80,100,9878713980055163606,80,LP0,0.0,2807999997.384846,779.9999992735684,0.20000000074505808,467999999.56414104
pilot,E50-PC80,100,9878713980055163606,80,LP10,0.1,2878199997.6463614,799.4999993462114,0.18000000067055233,479699999.6077269
pilot,E50-PC80,100,9878713980055163606,80,LP25,0.25,2983499998.038635,828.7499994551763,0.15000000055879348,497249999.6731058
pilot,E50-PC80,100,9878713980055163606,80,LP50,0.5,3158999998.692423,877.4999996367841,0.1000000003725291,526499999.78207046
pilot,E50-PC100,100,9878713980055163606,100,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,501428570.9615797
pilot,E50-PC100,100,9878713980055163606,100,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,501428571.00827885
pilot,E50-PC100,100,9878713980055163606,100,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,501428571.0783276
pilot,E50-PC100,100,9878713980055163606,100,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,501428571.1950756
pilot,E50-CONV100,300,6918711742289843946,300,LP0,0.0,10530000000.0,2925.0,0.0,752142857.1428572
pilot,E50-CONV100,300,6918711742289843946,300,LP10,0.1,10530000000.0,2925.0,0.0,752142857.1428572
pilot,E50-CONV100,300,6918711742289843946,300,LP25,0.25,10530000000.0,2925.0,0.0,752142857.1428572
pilot,E50-CONV100,300,6918711742289843946,300,LP50,0.5,10530000000.0,2925.0,0.0,752142857.1428572
pilot,E50-MT100,300,6918711742289843946,300,LP0,0.0,10530000000.0,2925.0,0.0,
pilot,E50-MT100,300,6918711742289843946,300,LP10,0.1,10530000000.0,2925.0,0.0,
pilot,E50-MT100,300,6918711742289843946,300,LP25,0.25,10530000000.0,2925.0,0.0,
pilot,E50-MT100,300,6918711742289843946,300,LP50,0.5,10530000000.0,2925.0,0.0,
pilot,E50-PC10,300,6918711742289843946,30,LP0,0.0,1052999974.5022511,292.499992917292,0.9000000024214386,526499987.2511256
pilot,E50-PC10,300,6918711742289843946,30,LP10,0.1,2000699977.0520263,555.7499936255629,0.8100000021792948,1000349988.5260131
pilot,E50-PC10,300,6918711742289843946,30,LP25,0.25,3422249980.876689,950.6249946879692,0.6750000018160789,1711124990.4383445
pilot,E50-PC10,300,6918711742289843946,30,LP50,0.5,5791499987.251126,1608.7499964586461,0.45000000121071926,2895749993.625563
pilot,E50-PC20,300,6918711742289843946,60,LP0,0.0,2105999949.0045023,584.999985834584,0.8000000048428773,1052999974.5022511
pilot,E50-PC20,300,6918711742289843946,60,LP10,0.1,2948399954.104052,818.9999872511256,0.7200000043585896,1474199977.052026
pilot,E50-PC20,300,6918711742289843946,60,LP25,0.25,4211999961.7533765,1169.999989375938,0.600000003632158,2105999980.8766882
pilot,E50-PC20,300,6918711742289843946,60,LP50,0.5,6317999974.502251,1754.9999929172918,0.4000000024214386,3158999987.2511253
pilot,E50-PC30,300,6918711742289843946,90,LP0,0.0,3158999923.506754,877.4999787518761,0.7000000072643159,1052999974.5022513
pilot,E50-PC30,300,6918711742289843946,90,LP10,0.1,3896099931.1560783,1082.2499808766884,0.6300000065378843,1298699977.052026
pilot,E50-PC30,300,6918711742289843946,90,LP25,0.25,5001749942.630065,1389.3749840639068,0.5250000054482369,1667249980.8766882
pilot,E50-PC30,300,6918711742289843946,90,LP50,0.5,6844499961.753378,1901.2499893759384,0.3500000036321579,2281499987.251126
pilot,E50-PC40,300,6918711742289843946,120,LP0,0.0,4211999898.0090046,1169.999971669168,0.6000000096857545,1052999974.5022511
pilot,E50-PC40,300,6918711742289843946,120,LP10,0.1,4843799908.208104,1345.4999745022512,0.540000008717179,1210949977.052026
pilot,E50-PC40,300,6918711742289843946,120,LP25,0.25,5791499923.506753,1608.749978751876,0.450000007264316,1447874980.8766882
pilot,E50-PC40,300,6918711742289843946,120,LP50,0.5,7370999949.004502,2047.4999858345839,0.30000000484287725,1842749987.2511256
pilot,E50-PC50,300,6918711742289843946,150,LP0,0.0,5264999872.511256,1462.49996458646,0.5000000121071931,1316249968.127814
pilot,E50-PC50,300,6918711742289843946,150,LP10,0.1,5791499885.260131,1608.749968127814,0.4500000108964738,1447874971.3150327
pilot,E50-PC50,300,6918711742289843946,150,LP25,0.25,6581249904.383442,1828.124973439845,0.3750000090803949,1645312476.0958605
pilot,E50-PC50,300,6918711742289843946,150,LP50,0.5,7897499936.255628,2193.74998229323,0.2500000060535966,1974374984.063907
pilot,E50-PC60,300,6918711742289843946,180,LP0,0.0,6317999847.013508,1754.9999575037523,0.40000001452863176,1052999974.5022513
pilot,E50-PC60,300,6918711742289843946,180,LP10,0.1,6739199862.312157,1871.999961753377,0.36000001307576857,1123199977.052026
pilot,E50-PC60,300,6918711742289843946,180,LP25,0.25,7370999885.260131,2047.499968127814,0.30000001089647377,1228499980.8766885
pilot,E50-PC60,300,6918711742289843946,180,LP50,0.5,8423999923.506753,2339.999978751876,0.200000007264316,1403999987.2511256
pilot,E50-PC80,300,6918711742289843946,240,LP0,0.0,8423999796.018009,2339.999943338336,0.20000001937150913,842399979.6018009
pilot,E50-PC80,300,6918711742289843946,240,LP10,0.1,8634599816.416208,2398.4999490045025,0.18000001743435823,863459981.6416209
pilot,E50-PC80,300,6918711742289843946,240,LP25,0.25,8950499847.013506,2486.249957503752,0.15000001452863188,895049984.7013506
pilot,E50-PC80,300,6918711742289843946,240,LP50,0.5,9476999898.009005,2632.4999716691677,0.10000000968575451,947699989.8009005
