tag,arm,N,seed,k_active,accepted_blocks,mean_interval_s,median_interval_s,p95_interval_s,stale_blocks
primary,E50-PC10,100,3678478102310266571,10,1,2360.3519422236027,2360.3519422236027,2360.3519422236027,0
primary,E50-PC20,100,3678478102310266571,20,2,4279.543195903821,4279.543195903821,1180.1759710652325,0
primary,E50-PC30,100,3678478102310266571,30,8,1126.5103183380402,493.84021892488556,2047.249806534489,0
primary,E50-PC40,100,3678478102310266571,40,9,1027.931280247231,443.0970794260126,2492.3196121040946,0
primary,E50-PC50,100,3678478102310266571,50,13,737.3243069047044,354.4776635725304,1993.85568982368,0
primary,E50-PC60,100,3678478102310266571,60,14,623.9101111434584,344.3950217068958,1661.5464080162792,0
primary,E50-PC80,100,3678478102310266571,80,17,574.8609785087168,438.29309489308105,1844.7276051445235,0
primary,E50-PC100,100,3678478102310266571,100,18,488.6080910145222,396.6566551460589,1475.7820842961626,0
primary,E50-CONV100,100,876786005621288851,100,27,334.84119067269955,280.7355283518029,830.7579190301512,0
primary,E50-MT100,100,876786005621288851,100,0,,,,0
primary,E50-PC10,100,876786005621288851,10,2,4162.064672252109,4162.064672252109,2809.1462343478565,0
primary,E50-PC20,100,876786005621288851,20,4,2292.8626159250853,2504.692895648638,2669.181554726837,0
primary,E50-PC30,100,876786005621288851,30,6,1517.092991859118,1669.7952637452165,1838.3277033561271,0
primary,E50-PC40,100,876786005621288851,40,7,1306.8831935291944,1334.5907773981473,1539.354410147459,0
primary,E50-PC50,100,876786005621288851,50,12,831.9290154726323,857.8830733751845,1231.483528083124,0
primary,E50-PC60,100,876786005621288851,60,14,645.4800185724628,558.9640412107515,1026.2362734534001,0
primary,E50-PC80,100,876786005621288851,80,22,412.73737866812917,339.91614796638964,769.6772051670399,0
primary,E50-PC100,100,876786005621288851,100,27,334.8411909791598,280.73552864558536,830.7579198186405,0
primary,E50-CONV100,100,5865549906742908637,100,18,548.5444663800605,341.27575269350774,1391.2883654070838,0
primary,E50-MT100,100,5865549906742908637,100,0,,,,0
primary,E50-PC10,100,5865549906742908637,10,0,,,,0
primary,E50-PC20,100,5865549906742908637,20,5,1896.3540086867504,752.3892548393178,2669.565007707,0
primary,E50-PC30,100,5865549906742908637,30,9,1023.0836785548223,501.59283654210753,1779.710005111947,0
primary,E50-PC40,100,5865549906742908637,40,10,931.3659912953655,591.018396959517,2407.845082824726,0
primary,E50-PC50,100,5865549906742908637,50,10,745.0927930341394,472.8147175425162,1926.2760662322537,0
primary,E50-PC60,100,5865549906742908637,60,11,832.4178141525451,537.2281110367368,1691.4945083786981,0
primary,E50-PC80,100,5865549906742908637,80,12,717.2131187670889,426.59469122529293,1739.110458364473,0
primary,E50-PC100,100,5865549906742908637,100,18,548.5444668823941,341.27575307687243,1391.288366620026,0
primary,E50-CONV100,100,15633523601349685045,100,14,687.3256516270434,347.2707882593138,1608.9235245862596,0
primary,E50-MT100,100,15633523601349685045,100,0,,,,0
primary,E50-PC10,100,15633523601349685045,10,1,4981.930036067034,4981.930036067034,4981.930036067034,0
