tag,arm,N,seed,k_active,U_exact,unique_coverage_rate_per_s,coverage_retention_vs_MT100
primary,E50-PC100,100,18018684830827566070,100,233999999782070517772,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,11415035473929976970,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,11415035473929976970,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,11415035473929976970,10,23399999978207051782,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,11415035473929976970,20,46799999956414103554,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,11415035473929976970,30,70199999934621155337,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,11415035473929976970,40,93599999912828207111,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,11415035473929976970,50,116999999891035258890,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,11415035473929976970,60,140399999869242310672,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,11415035473929976970,80,187199999825656414232,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,11415035473929976970,100,233999999782070517800,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,5972818461147421061,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,5972818461147421061,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,5972818461147421061,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,5972818461147421061,20,46799999956414103552,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,5972818461147421061,30,70199999934621155327,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,5972818461147421061,40,93599999912828207107,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,5972818461147421061,50,116999999891035258880,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,5972818461147421061,60,140399999869242310665,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,5972818461147421061,80,187199999825656414217,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,5972818461147421061,100,233999999782070517776,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,11677511577610847452,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,11677511577610847452,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,11677511577610847452,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,11677511577610847452,20,46799999956414103553,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,11677511577610847452,30,70199999934621155330,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,11677511577610847452,40,93599999912828207108,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,11677511577610847452,50,116999999891035258884,1.1699999989103526e+16,49.99999987543203
