tag,arm,N,seed,k_active,C_total,U_exact,R_exact,rho_exact
primary,E50-PC100,100,11677511577610847452,100,233999999782070517784,233999999782070517784,0,0.0
primary,E50-CONV100,100,17891702655887131290,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,17891702655887131290,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,17891702655887131290,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,17891702655887131290,20,46799999956414103551,46799999956414103551,0,0.0
primary,E50-PC30,100,17891702655887131290,30,70199999934621155331,70199999934621155331,0,0.0
primary,E50-PC40,100,17891702655887131290,40,93599999912828207104,93599999912828207104,0,0.0
primary,E50-PC50,100,17891702655887131290,50,116999999891035258878,116999999891035258878,0,0.0
primary,E50-PC60,100,17891702655887131290,60,140399999869242310660,140399999869242310660,0,0.0
primary,E50-PC80,100,17891702655887131290,80,187199999825656414219,187199999825656414219,0,0.0
primary,E50-PC100,100,17891702655887131290,100,233999999782070517772,233999999782070517772,0,0.0
primary,E50-CONV100,200,7695027954463196593,200,468000000000000000000,468000000000000000000,0,0.0
primary,E50-MT100,200,7695027954463196593,200,468000000000000000000,2340000003650486272,465659999996349513728,0.9949999999921998
primary,E50-PC10,200,7695027954463196593,20,46799998866766718654,46799998866766718654,0,0.0
primary,E50-PC20,200,7695027954463196593,40,93599997733533437330,93599997733533437330,0,0.0
primary,E50-PC30,200,7695027954463196593,60,140399996600300155996,140399996600300155996,0,0.0
