tag,arm,N,seed,k_active,epochs_completed,exhaustions,unique_per_epoch,epoch_seconds
primary,E50-PC60,100,6572291145813621428,60,54482370560,3268942233600,2576980377.801724,1.835456111254789e-07
primary,E50-PC80,100,6572291145813621428,80,54482370559,4358589644720,3435973837.132031,1.835456111288478e-07
primary,E50-PC100,100,6572291145813621428,100,54482370560,5448237056000,4294967296.336206,1.835456111254789e-07
primary,E50-CONV100,100,17112478889879003015,100,54482369700,54482369700,4294967368.131933,1.835456140227322e-07
primary,E50-MT100,100,17112478889879003015,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,17112478889879003015,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,17112478889879003015,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
primary,E50-PC30,100,17112478889879003015,30,54482370563,1634471116890,1288490188.829913,1.835456111153722e-07
primary,E50-PC40,100,17112478889879003015,40,54482370563,2179294822520,1717986918.4398837,1.835456111153722e-07
primary,E50-PC50,100,17112478889879003015,50,54482370560,2724118528000,2147483648.168103,1.835456111254789e-07
primary,E50-PC60,100,17112478889879003015,60,54482370559,3268942233540,2576980377.849023,1.835456111288478e-07
primary,E50-PC80,100,17112478889879003015,80,54482370555,4358589644400,3435973837.384294,1.8354561114232339e-07
primary,E50-PC100,100,17112478889879003015,100,54482370553,5448237055300,4294967296.888032,1.835456111490612e-07
primary,E50-CONV100,100,9839921138141735050,100,54482370000,54482370000,4294967344.482261,1.8354561301206243e-07
primary,E50-MT100,100,9839921138141735050,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,9839921138141735050,10,54482370562,544823705620,429496729.6178542,1.835456111187411e-07
primary,E50-PC20,100,9839921138141735050,20,54482370562,1089647411240,858993459.2357084,1.835456111187411e-07
primary,E50-PC30,100,9839921138141735050,30,54482370561,1634471116830,1288490188.8772123,1.8354561112211e-07
primary,E50-PC40,100,9839921138141735050,40,54482370560,2179294822400,1717986918.5344825,1.835456111254789e-07
primary,E50-PC50,100,9839921138141735050,50,54482370562,2724118528100,2147483648.089271,1.835456111187411e-07
primary,E50-PC60,100,9839921138141735050,60,54482370561,3268942233660,2576980377.7544246,1.8354561112211e-07
primary,E50-PC80,100,9839921138141735050,80,54482370559,4358589644720,3435973837.132031,1.835456111288478e-07
primary,E50-PC100,100,9839921138141735050,100,54482370558,5448237055800,4294967296.493871,1.835456111322167e-07
