composition,N,protocol,alpha_case,alpha,is_idealized_alpha,EnergySaving_mean,EnergySaving_boot_ci_low,saving_gt_50pct,saving_gt_50pct_ci_lower,BlockRetention_mean,retention_ge_90pct,retention_ge_95pct,LatencyRatio_median,latency_le_1p10,outcome
H4,500,P0_ALL,alpha_025,0.25,False,0.0019052220960930932,0.0017746215149538423,False,False,0.9957896825396825,True,True,0.9921422522298479,True,D
H4,500,P0_ALL,alpha_050,0.5,False,0.0012701480640620868,0.0011830810099692035,False,False,0.9957896825396825,True,True,0.9921422522298479,True,D
H4,500,P3_ENERGY,alpha_0,0.0,True,0.5191129171268742,0.5190492083583881,True,True,0.6228522249849482,False,False,1.8054761430566602,False,C (idealized alpha)
H4,500,P3_ENERGY,alpha_005,0.05,False,0.49315727127053055,0.4930967479404687,False,False,0.6228522249849482,False,False,1.8054761430566602,False,D
H4,500,P3_ENERGY,alpha_010,0.1,False,0.4672016254141868,0.46714428752254933,False,False,0.6228522249849482,False,False,1.8054761430566602,False,D
H4,500,P3_ENERGY,alpha_025,0.25,False,0.3893346878451557,0.3892869062687911,False,False,0.6228522249849482,False,False,1.8054761430566602,False,D
H4,500,P3_ENERGY,alpha_050,0.5,False,0.2595564585634372,0.25952460417919404,False,False,0.6228522249849482,False,False,1.8054761430566602,False,D
H4,500,P4_RESERVE,alpha_0,0.0,True,0.45903083050575494,0.4397667029019992,False,False,0.5678898638229303,False,False,1.7780843043051218,False,D
H4,500,P4_RESERVE,alpha_005,0.05,False,0.4360792889804673,0.4177783677568992,False,False,0.5678898638229303,False,False,1.7780843043051218,False,D
H4,500,P4_RESERVE,alpha_010,0.1,False,0.41312774745517944,0.39579003261179935,False,False,0.5678898638229303,False,False,1.7780843043051218,False,D
H4,500,P4_RESERVE,alpha_025,0.25,False,0.34427312287931616,0.32982502717649936,False,False,0.5678898638229303,False,False,1.7780843043051218,False,D
H4,500,P4_RESERVE,alpha_050,0.5,False,0.2295154152528774,0.21988335145099955,False,False,0.5678898638229303,False,False,1.7780843043051218,False,D
