tag,arm,N,seed,scope,O_mean,O_median,O_p95,O_max,M_ge2,M_ge3,m_max,mean_mult_reused
primary,XNR-PW-CONV-ZERO,100,4849566379269777204,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,4849566379269777204,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,4849566379269777204,subsweep,146905.5426262626,0.0,0.0,21386463.0,386742800.0,85357647.0,6.0,2.344624238641288
primary,XNR-PW-MT-ZERO,100,4849566379269777204,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,4849566379269777204,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,4849566379269777204,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,4849566379269777204,subsweep,146905.5426262626,0.0,0.0,21386463.0,386742800.0,85357647.0,6.0,2.344624238641288
primary,XNR-PC,100,4849566379269777204,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,4849566379269777204,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,4171531546602603804,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-ZERO,100,4171531546602603804,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,4171531546602603804,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,4171531546602603804,subsweep,130031.80707070703,0.0,0.0,21369414.0,430509647.0,74915713.0,5.0,2.222420486201091
primary,XNR-PW-MT-ZERO,100,4171531546602603804,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,4171531546602603804,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
